The only way to do great work is to love what you do. (做出伟大工作的唯一方法是热爱你所做的事。), Steve Jobs / 史蒂夫·乔布斯
In the middle of difficulty lies opportunity. (在困难中藏着机会。), Albert Einstein / 阿尔伯特·爱因斯坦
"Success is not final, failure is not fatal: It is the courage to continue that counts. (成功不是终点，失败不是致命的：继续前进的勇气才是关键。)", Winston Churchill / 温斯顿·丘吉尔
Believe you can and you're halfway there. (相信你能行，你已经成功了一半。), Theodore Roosevelt / 西奥多·罗斯福
Our greatest weakness lies in giving up. The most certain way to succeed is always to try just one more time. (我们最大的弱点在于放弃。成功最有把握的方法就是再试一次。), Thomas A. Edison / 托马斯·爱迪生
The best time to plant a tree was 20 years ago. The second best time is now. (种树最好的时间是20年前，其次是现在。), Chinese Proverb / 中国谚语
"Do not go where the path may lead, go instead where there is no path and leave a trail. (不要走常走的路，去走没有路的地方并留下足迹。)", Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
It always seems impossible until it's done. (事情在完成之前总是看起来不可能。), Nelson Mandela / 纳尔逊·曼德拉
Act as if what you do makes a difference. It does. (像你所做的事能产生影响一样行动。它确实会。), William James / 威廉·詹姆斯
What you get by achieving your goals is not as important as what you become by achieving your goals. (通过实现目标得到的东西不如通过实现目标你变成了什么重要。), Zig Ziglar / 齐格·齐格勒
The future belongs to those who believe in the beauty of their dreams. (未来属于那些相信自己梦想之美的人。), Eleanor Roosevelt / 埃莉诺·罗斯福
You miss 100% of the shots you don't take. (你不尝试，就失去了100%的机会。), Wayne Gretzky / 韦恩·格雷茨基
"Strive not to be a success, but rather to be of value. (不要追求成功，而要追求价值。)", Albert Einstein / 阿尔伯特·爱因斯坦
"I find that the harder I work, the more luck I seem to have. (我发现我越努力，似乎就越幸运。)", Thomas Jefferson / 托马斯·杰斐逊
The only limit to our realization of tomorrow will be our doubts of today. (实现明天理想的唯一限制是今天的疑虑。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
Don't watch the clock; do what it does. Keep going. (不要看时钟；做它所做的。继续前进。), Sam Levenson / 山姆·李文森
You are never too old to set another goal or to dream a new dream. (设定新目标或做新梦永远不嫌老。), C.S. Lewis / C.S.刘易斯
The way to get started is to quit talking and begin doing. (开始的方法是停止说话，开始行动。), Walt Disney / 华特·迪士尼
"Your time is limited, don't waste it living someone else's life. (你的时间有限，不要浪费在过别人的生活上。)", Steve Jobs / 史蒂夫·乔布斯
The best revenge is massive success. (最好的报复是巨大的成功。), Frank Sinatra / 弗兰克·西纳特拉
Change your thoughts and you change your world. (改变你的思想，你就改变了你的世界。), Norman Vincent Peale / 诺曼·文森特·皮尔
The only person you are destined to become is the person you decide to be. (你注定成为的唯一的人是你决定成为的人。), Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
Go confidently in the direction of your dreams. Live the life you have imagined. (自信地朝梦想的方向前进。过你想象中的生活。), Henry David Thoreau / 亨利·大卫·梭罗
Happiness is not something ready made. It comes from your own actions. (幸福不是现成的东西。它来自你自己的行动。), Dalai Lama / 达赖喇嘛
You must be the change you wish to see in the world. (你必须成为你希望在世界上看到的变化。), Mahatma Gandhi / 圣雄甘地
The power of imagination makes us infinite. (想象力的力量使我们无限。), John Muir / 约翰·缪尔
The man who moves a mountain begins by carrying away small stones. (移山的人从搬小石头开始。), Confucius / 孔子
It does not matter how slowly you go as long as you do not stop. (只要你不停下来，走得多慢都没关系。), Confucius / 孔子
Everything you've ever wanted is on the other side of fear. (你想要的一切都在恐惧的另一边。), George Addair / 乔治·阿代尔
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart. (世界上最好最美的东西看不见摸不着——必须用心去感受。), Helen Keller / 海伦·凯勒
Keep your face always toward the sunshine - and shadows will fall behind you. (永远面向阳光——阴影就会落在你身后。), Walt Whitman / 沃尔特·惠特曼
"You can't use up creativity. The more you use, the more you have. (创造力用不完。用得越多，拥有得越多。)", Maya Angelou / 玛雅·安吉洛
Dream big and dare to fail. (大胆梦想，敢于失败。), Norman Vaughan / 诺曼·沃恩
The question isn't who is going to let me; it's who is going to stop me. (问题不是谁会让我做；而是谁会阻止我。), Ayn Rand / 艾茵·兰德
"Build your own dreams, or someone else will hire you to build theirs. (建立你自己的梦想，否则别人会雇你去建立他们的梦想。)", Farrah Gray / 法拉·格雷
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it. (你和目标之间唯一的障碍是你不断告诉自己为什么不能实现它的废话。), Jordan Belfort / 乔丹·贝尔福特
I am not a product of my circumstances. I am a product of my decisions. (我不是环境的产物。我是我决定的产物。), Stephen Covey / 史蒂芬·柯维
Every strike brings me closer to the next home run. (每次挥棒都让我更接近下一次全垒打。), Babe Ruth / 贝比·鲁斯
Definiteness of purpose is the starting point of all achievement. (明确的目标是所有成就的起点。), W. Clement Stone / W·克莱门特·斯通
Life is 10% what happens to me and 90% of how I react to it. (生活是10%发生在我身上的事，90%是我对它的反应。), Charles Swindoll / 查尔斯·斯温多尔
The mind is everything. What you think you become. (思想就是一切。你想什么，你就成为什么。), Buddha / 佛陀
The best time to plant a tree was 20 years ago. The second best time is now. (种树最好的时间是20年前，其次是现在。), Chinese Proverb / 中国谚语
An unexamined life is not worth living. (未经审视的生活不值得过。), Socrates / 苏格拉底
Eighty percent of success is showing up. (成功的80%是出现。), Woody Allen / 伍迪·艾伦
"Your time is limited, so don't waste it living someone else's life. (你的时间有限，所以不要浪费在过别人的生活上。)", Steve Jobs / 史蒂夫·乔布斯
"Winning isn't everything, but wanting to win is. (胜利不是一切，但渴望胜利就是一切。)", Vince Lombardi / 文斯·隆巴迪
The only limit to our realization of tomorrow is our doubts of today. (实现明天理想的唯一限制是今天的疑虑。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
The best way to predict the future is to invent it. (预测未来的最好方法是创造它。), Alan Kay / 艾伦·凯
The only thing we have to fear is fear itself. (我们唯一需要害怕的是害怕本身。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
It is never too late to be what you might have been. (成为你本可以成为的人永远不会太晚。), George Eliot / 乔治·艾略特
The journey of a thousand miles begins with one step. (千里之行，始于足下。), Lao Tzu / 老子
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. (不要被你心中的恐惧推来推去。被你心中的梦想引领。), Roy T. Bennett / 罗伊·T·贝内特
The only way to achieve the impossible is to believe it is possible. (实现不可能的唯一方法是相信它是可能的。), Charles Kingsleigh / 查尔斯·金斯利
You are never too old to set another goal or to dream a new dream. (设定新目标或做新梦永远不嫌老。), C.S. Lewis / C.S.刘易斯
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it. (你和目标之间唯一的障碍是你不断告诉自己为什么不能实现它的故事。), Jordan Belfort / 乔丹·贝尔福特
The best revenge is massive success. (最好的报复是巨大的成功。), Frank Sinatra / 弗兰克·西纳特拉
The only person you are destined to become is the person you decide to be. (你注定成为的唯一的人是你决定成为的人。), Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart. (世界上最好最美的东西看不见摸不着——必须用心去感受。), Helen Keller / 海伦·凯勒
The power of imagination makes us infinite. (想象力的力量使我们无限。), John Muir / 约翰·缪尔
The man who moves a mountain begins by carrying away small stones. (移山的人从搬小石头开始。), Confucius / 孔子
It does not matter how slowly you go as long as you do not stop. (只要你不停下来，走得多慢都没关系。), Confucius / 孔子
Everything you've ever wanted is on the other side of fear. (你想要的一切都在恐惧的另一边。), George Addair / 乔治·阿代尔
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart. (世界上最好最美的东西看不见摸不着——必须用心去感受。), Helen Keller / 海伦·凯勒
Keep your face always toward the sunshine - and shadows will fall behind you. (永远面向阳光——阴影就会落在你身后。), Walt Whitman / 沃尔特·惠特曼
"You can't use up creativity. The more you use, the more you have. (创造力用不完。用得越多，拥有得越多。)", Maya Angelou / 玛雅·安吉洛
Dream big and dare to fail. (大胆梦想，敢于失败。), Norman Vaughan / 诺曼·沃恩
The question isn't who is going to let me; it's who is going to stop me. (问题不是谁会让我做；而是谁会阻止我。), Ayn Rand / 艾茵·兰德
"Build your own dreams, or someone else will hire you to build theirs. (建立你自己的梦想，否则别人会雇你去建立他们的梦想。)", Farrah Gray / 法拉·格雷
The only thing standing between you and your goal is the bullshit story you keep telling yourself as to why you can't achieve it. (你和目标之间唯一的障碍是你不断告诉自己为什么不能实现它的废话。), Jordan Belfort / 乔丹·贝尔福特
I am not a product of my circumstances. I am a product of my decisions. (我不是环境的产物。我是我决定的产物。), Stephen Covey / 史蒂芬·柯维
Every strike brings me closer to the next home run. (每次挥棒都让我更接近下一次全垒打。), Babe Ruth / 贝比·鲁斯
Definiteness of purpose is the starting point of all achievement. (明确的目标是所有成就的起点。), W. Clement Stone / W·克莱门特·斯通
Life is 10% what happens to me and 90% of how I react to it. (生活是10%发生在我身上的事，90%是我对它的反应。), Charles Swindoll / 查尔斯·斯温多尔
The mind is everything. What you think you become. (思想就是一切。你想什么，你就成为什么。), Buddha / 佛陀
The best time to plant a tree was 20 years ago. The second best time is now. (种树最好的时间是20年前，其次是现在。), Chinese Proverb / 中国谚语
An unexamined life is not worth living. (未经审视的生活不值得过。), Socrates / 苏格拉底
Eighty percent of success is showing up. (成功的80%是出现。), Woody Allen / 伍迪·艾伦
"Your time is limited, so don't waste it living someone else's life. (你的时间有限，所以不要浪费在过别人的生活上。)", Steve Jobs / 史蒂夫·乔布斯
"Winning isn't everything, but wanting to win is. (胜利不是一切，但渴望胜利就是一切。)", Vince Lombardi / 文斯·隆巴迪
The only limit to our realization of tomorrow is our doubts of today. (实现明天理想的唯一限制是今天的疑虑。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
The best way to predict the future is to invent it. (预测未来的最好方法是创造它。), Alan Kay / 艾伦·凯
The only thing we have to fear is fear itself. (我们唯一需要害怕的是害怕本身。), Franklin D. Roosevelt / 富兰克林·D·罗斯福
It is never too late to be what you might have been. (成为你本可以成为的人永远不会太晚。), George Eliot / 乔治·艾略特
The journey of a thousand miles begins with one step. (千里之行，始于足下。), Lao Tzu / 老子
Don't be pushed around by the fears in your mind. Be led by the dreams in your heart. (不要被你心中的恐惧推来推去。被你心中的梦想引领。), Roy T. Bennett / 罗伊·T·贝内特
The only way to achieve the impossible is to believe it is possible. (实现不可能的唯一方法是相信它是可能的。), Charles Kingsleigh / 查尔斯·金斯利
You are never too old to set another goal or to dream a new dream. (设定新目标或做新梦永远不嫌老。), C.S. Lewis / C.S.刘易斯
The only thing standing between you and your goal is the story you keep telling yourself as to why you can't achieve it. (你和目标之间唯一的障碍是你不断告诉自己为什么不能实现它的故事。), Jordan Belfort / 乔丹·贝尔福特
The best revenge is massive success. (最好的报复是巨大的成功。), Frank Sinatra / 弗兰克·西纳特拉
The only person you are destined to become is the person you decide to be. (你注定成为的唯一的人是你决定成为的人。), Ralph Waldo Emerson / 拉尔夫·沃尔多·爱默生
The best and most beautiful things in the world cannot be seen or even touched - they must be felt with the heart. (世界上最好最美的东西看不见摸不着——必须用心去感受。), Helen Keller / 海伦·凯勒
The power of imagination makes us infinite. (想象力的力量使我们无限。), John Muir / 约翰·缪尔
The man who moves a mountain begins by carrying away small stones. (移山的人从搬小石头开始。), Confucius / 孔子
It does not matter how slowly you go as long as you do not stop. (只要你不停下来，走得多慢都没关系。), Confucius / 孔子
Everything you've ever wanted is on the other side of fear. (你想要的一切都在恐惧的另一边。), George Addair / 乔治·阿代尔
天行健，君子以自强不息。,《周易》 
不飞则已，一飞冲天；不鸣则已，一鸣惊人。,司马迁 
长风破浪会有时，直挂云帆济沧海。,李白 
路漫漫其修远兮，吾将上下而求索。,屈原 
千磨万击还坚劲，任尔东西南北风。,郑燮 
志不强者智不达，言不信者行不果。,墨子 
老骥伏枥，志在千里；烈士暮年，壮心不已。,曹操 
海纳百川，有容乃大；壁立千仞，无欲则刚。,林则徐 
三军可夺帅也，匹夫不可夺志也。,孔子 
穷且益坚，不坠青云之志。,王勃 
天将降大任于斯人也，必先苦其心志，劳其筋骨，饿其体肤，空乏其身，行拂乱其所为。,孟子 
古之立大事者，不惟有超世之才，亦必有坚忍不拔之志。,苏轼 
纸上得来终觉浅，绝知此事要躬行。,陆游 
不经一番寒彻骨，怎得梅花扑鼻香。,黄蘖禅师 
人生自古谁无死，留取丹心照汗青。,文天祥 
会当凌绝顶，一览众山小。,杜甫 
宝剑锋从磨砺出，梅花香自苦寒来。,《警世贤文》 
少壮不努力，老大徒伤悲。,《长歌行》 
天生我材必有用，千金散尽还复来。,李白 
业精于勤，荒于嬉；行成于思，毁于随。,韩愈 
非淡泊无以明志，非宁静无以致远。,诸葛亮 
勿以恶小而为之，勿以善小而不为。,刘备 
博观而约取，厚积而薄发。,苏轼 
有志者事竟成，破釜沉舟，百二秦关终属楚；苦心人天不负，卧薪尝胆，三千越甲可吞吴。,蒲松龄 
天下兴亡，匹夫有责。,顾炎武 
吾生也有涯，而知也无涯。,庄子 
学而不思则罔，思而不学则殆。,孔子 
敏而好学，不耻下问。,孔子 
读书破万卷，下笔如有神。,杜甫 
黑发不知勤学早，白首方悔读书迟。,颜真卿 
书山有路勤为径，学海无涯苦作舟。,韩愈 
玉不琢，不成器；人不学，不知道。,《礼记》 
学然后知不足，教然后知困。,《礼记》 
知之者不如好之者，好之者不如乐之者。,孔子 
读书百遍，其义自见。,《三国志》 
问渠那得清如许，为有源头活水来。,朱熹 
旧书不厌百回读，熟读精思子自知。,苏轼 
读书之法，在循序而渐进，熟读而精思。,朱熹 
读万卷书，行万里路。,刘彝 
书到用时方恨少，事非经过不知难。,陆游 
发奋识遍天下字，立志读尽人间书。,苏轼 
鸟欲高飞先振翅，人求上进先读书。,李苦禅 
立志宜思真品格，读书须尽苦功夫。,阮元 
非学无以广才，非志无以成学。,诸葛亮 
千里之行，始于足下。,老子 
靡不有初，鲜克有终。,《诗经》 
锲而舍之，朽木不折；锲而不舍，金石可镂。,荀子 
精诚所至，金石为开。,《后汉书》 
绳锯木断，水滴石穿。,罗大经 
日日行，不怕千万里；常常做，不怕千万事。,《格言联璧》 
天下事有难易乎？为之，则难者亦易矣；不为，则易者亦难矣。,彭端淑 
积土而为山，积水而为海。,荀子 
不积跬步，无以至千里；不积小流，无以成江海。,荀子 
欲穷千里目，更上一层楼。,王之涣 
不畏浮云遮望眼，自缘身在最高层。,王安石 
沉舟侧畔千帆过，病树前头万木春。,刘禹锡 
山重水复疑无路，柳暗花明又一村。,陆游 
横看成岭侧成峰，远近高低各不同。,苏轼 
不识庐山真面目，只缘身在此山中。,苏轼 
采得百花成蜜后，为谁辛苦为谁甜。,罗隐 
春蚕到死丝方尽，蜡炬成灰泪始干。,李商隐 
落红不是无情物，化作春泥更护花。,龚自珍 
鞠躬尽瘁，死而后已。,诸葛亮 
苟利国家生死以，岂因祸福避趋之。,林则徐 
先天下之忧而忧，后天下之乐而乐。,范仲淹 
位卑未敢忘忧国，事定犹须待阖棺。,陆游 
捐躯赴国难，视死忽如归。,曹植 
人生在世不称意，明朝散发弄扁舟。,李白 
仰天大笑出门去，我辈岂是蓬蒿人。,李白 
大鹏一日同风起，扶摇直上九万里。,李白 
安能摧眉折腰事权贵，使我不得开心颜。,李白 
千淘万漉虽辛苦，吹尽狂沙始到金。,刘禹锡 
莫道桑榆晚，为霞尚满天。,刘禹锡 
时人不识凌云木，直待凌云始道高。,杜荀鹤 
少年易老学难成，一寸光阴不可轻。,朱熹 
劝君莫惜金缕衣，劝君惜取少年时。,杜秋娘 
花开堪折直须折，莫待无花空折枝。,杜秋娘 
明日复明日，明日何其多。我生待明日，万事成蹉跎。,钱福 
盛年不重来，一日难再晨。及时当勉励，岁月不待人。,陶渊明 
一寸光阴一寸金，寸金难买寸光阴。,《增广贤文》 
光阴似箭，日月如梭。,《增广贤文》 
一年之计在于春，一日之计在于晨。,萧绎 
岁寒，然后知松柏之后凋也。,孔子 
三更灯火五更鸡，正是男儿读书时。,颜真卿 
富贵不能淫，贫贱不能移，威武不能屈。,孟子 
穷则独善其身，达则兼济天下。,孟子 
君子之交淡如水，小人之交甘若醴。,庄子 
君子坦荡荡，小人长戚戚。,孔子 
君子成人之美，不成人之恶。,孔子 
己所不欲，勿施于人。,孔子 
静以修身，俭以养德。,诸葛亮 
良药苦口利于病，忠言逆耳利于行。,《孔子家语》 
满招损，谦受益。,《尚书》 
言必信，行必果。,孔子 
人而无信，不知其可也。,孔子 
工欲善其事，必先利其器。,孔子
没有一帆风顺的人生，也没有坐享其成的生活。,彬之彬《励志诗》 
即使遭遇狂风，大浪，暴雨，烈日，也应毫无惧怕。,彬之彬《励志诗》 
只有不畏艰辛的人，才有机会享受到人生最简单的快乐。,彬之彬《励志诗》 
与其在牢笼里祭祀生命与荒唐，不如死在海上痛快拼搏死一场。,文古《海鸥之歌》 
我说尘世里的清明者，你荒唐度日啊，把青春献给了残阳之血。,文古《海鸥之歌》 
假如有一天我死了，羽毛腐烂，但我的歌声早已印迹在了浪涛中。,文古《海鸥之歌》 
追梦，追逐失去的梦，追梦中，希望的曙光正冉冉升起。,刘恒武《追梦》 
追梦，追逐失去的梦，追梦中，一幅绚丽的画卷在眼前绽放。,刘恒武《追梦》 
两个节气之间，隔着一座蜿蜒的迷宫。,塞宾的左手《进发》 
春草疯长成呐喊的时候，我的泪水必将决堤。,塞宾的左手《进发》 
我必须重新设置程序，才能把光打开。,夏日秋风《思想》 
我挑选了一些闪亮的日子，摆在地摊上出售。,夏日秋风《思想》 
记住，孩子，当太阳升起，要保持微笑，像一朵玫瑰。,夏日秋风《思想》 
呼喊是爆发的沉默，沉默是无声的召唤。,汪国真《山高路远》 
没有比脚更长的路，没有比人更高的山。,汪国真《山高路远》 
双脚磨破，干脆再让夕阳涂抹小路；双手划烂，索性就让荆棘变成杜鹃。,汪国真《山高路远》 
灯亮着，它以这样轩昂的傲气，睥睨明里暗里的压迫。,舒婷《当你从我的窗下走过》 
灯亮着，它用这样火热的恋情，回答四面八方的问候。,舒婷《当你从我的窗下走过》 
不是一切呼吁都没有回响；不是一切损失都无法补偿。,舒婷《这也是一切》 
一切的现在都孕育着未来，未来的一切都生长于它的昨天。,舒婷《这也是一切》 
我坚信人们对于我们的脊骨，一定会给予热情、客观、公正的评定。,汪国真《相信未来》 
相信不屈不挠的努力，相信战胜死亡的年轻。,汪国真《相信未来》 
我们可以欺瞒别人，却无法欺瞒自己。,汪国真《跨越自己》 
向上的路，总是坎坷又崎岖，要永远保持最初的浪漫，真是不容易。,汪国真《跨越自己》 
当我们跨越了一座高山，也就跨越了一个真实的自己。,汪国真《跨越自己》 
我生来就是高山而非溪流，我欲于群峰之巅俯视平庸的沟壑。,张桂梅 
女生可以学好数理化。,王志珍 
我们可以很普通，但是很自信，成为自己就很好了。,杨澜 
女孩，握紧你的右手，千万别让它飞走！,毕淑敏 
年龄不重要，心态很重要。有梦想，就不会在意年龄带来的焦虑。,董明珠 
做你自己就是最时尚的，只要关注自己，自信地去做自己，就是盛放。,宋佳 
女排精神是有时候知道不会赢，也竭尽全力。,郎平 
坚持不下去的时候，记得向上看一眼光，生命远比我们想象的坚强。,江梦南 
杀不死你的，将使你更强大。,朱婷 
我要你静心学习那份等待时机成熟的情绪，也要你一定保有这份等待之外的努力和坚持。,三毛 
不要泄气，要放下包袱，放手去搏。,水庆霞 
当我们拥有不顾一切投身其中的渴望，我们绝对不会愿意让身份、让性别，挡住我们的脚步。,徐颖 
休言女子非英物，夜夜龙泉壁上鸣。,秋瑾 
能拯救我的只有我自己。,贾玲 
我希望全世界看到体育精神，让更多女孩敢于打破自己的界限。,谷爱凌 
如果你想要什么，就勇敢去争取。,叶叔华 
女人必须像男人那样勇于尝试。,埃尔哈特 
每个女性在自己的位置上发光，就是中国女性最好的样子。,蒙曼 
女人不光有外貌、身材的美，还有职业上的发光发亮让人美。,巩立姣 
一个人不想攀高就不怕下跌，也不用倾轧排挤，可以保其天真，成其自然。,杨绛 
人生的目的，不光是为自己活着，而是要用自己的智慧和能力来帮助他人和社会。,吴贻芳 
女性不是社会的点缀，是半边天，是社会的主人。,郑小瑛 
世界因科学而精彩，科学因女性而美丽。,屠呦呦 
愿每一位女同胞在自己的星空中，为所爱的生活和事业采撷最璀璨的星。,王亚平 
一个完整的女性，她应该是独立的、自足的、自己独立支撑的，跟男人是平等的。,李银河 
应该有自己的主张，你不要靠别人去生活。,乐黛云 
我们女性想成为的自己，不应该是一成不变的。,韩仕梅 
做自己最忠实的铁粉，在最需要能量的时候，给自己喊两嗓子提提气：顶住！加油！,李雯雯 
公主不是天生的，公主的光芒是自己赢来的。,张伟丽 
你怎么爱你自己，就是在教别人怎么爱你。,露比·考尔 
女士们，没有人可以告诉你，你已经过了你的黄金时代，永不放弃！,杨紫琼 
如果我的心是一朵莲花，正中擎出一枝点亮的蜡，我也要它骄傲地捧出辉煌。,林徽因 
她可以是勇敢的，也可以是坚韧的，又可以是智慧的，她是多元又充满力量的。,陈丽君 
不必匆忙。不必火花四溅。不必成为别人，只需做自己。,弗吉尼亚·伍尔芙 
珍惜你的每个年龄段，做好眼前事儿，享受当下的每一天！,姜妍 
现在当个快乐的女孩，中年时当个快乐的阿姨，老年时当个快乐的老太婆。,露西·莫德·蒙哥马利 
我们都是阴沟里的虫子，但总还是得有人仰望星空。,刘慈欣《三体》 
弱小和无知，不是生存的障碍，傲慢才是。,刘慈欣《三体》 
越透明的东西越神秘，宇宙本身就是透明的，只要目力能及，你想看多远就看多远，但越看越神秘。,刘慈欣《三体》 
活着本身就很美妙，如果连这道理都不懂，怎么去探索更深的东西呢？,刘慈欣《三体》 
恐惧是通向黑暗之路。恐惧导致愤怒。愤怒引发仇恨。仇恨造成痛苦。,《星球大战》 
你阻止不了改变，就像你阻止不了太阳下山一样。,施密·天行者《星球大战》 
永远不可能‘准备好’，准备得差不多就得上了。,希伦·格拉夫上校《安德的游戏》 
上天给予你天赋，是因为你有不可推卸的责任和使命。,《安德的游戏》 
很多时候，谎言比真话更可靠，更值得信赖。,奥特·斯科特·卡德《安德的游戏》 
尘土飞扬的红沙地里留下了我最后一个脚印。今天我就要离开火星，要么死，要么生。,《火星救援》 
你相信神吗？文卡特？”——“当然，信很多。我是印度教徒。,《火星救援》 
你只知道我让你知道的，你只了解我想让你了解的，而那并不是我。,《头号玩家》 
即使现实再令我恐惧，再令我痛苦，也只有在现实中，我才能真正吃顿好饭。,《头号玩家》 
任何被压制的声音都不会甘于沉默，它们会以某种无声胜有声的方式大声疾呼自己的存在。,玛格丽特·阿特伍德《使女的故事》 
自由有两种，一种是随心所欲的自由，另一种是逃避责任的自由。,玛格丽特·阿特伍德《使女的故事》 
如果你与众不同，你就一定会孤独。,阿道司·赫胥黎《美丽新世界》 
人们感到痛苦的不是他们用笑声取代了思考，而是他们不知道自己为什么笑以及为什么不再思考。,赫胥黎《美丽新世界》 
但我不要舒适。我要神，我要诗，我要真实的危险，我要自由，我要善良，我要罪孽。,阿道司·赫胥黎《美丽新世界》 
没有独立思想的世界没有自由。,阿道司·赫胥黎《美丽新世界》 
如果人们停止了幻想，如果他们不面向宇宙的奇迹，那么这就是人类衰落的真正征兆。,《三种命运》 
科学是埋葬形形色色褪了色的思想的坟场。,玛丽·雪莱《弗兰肯斯坦》 
怪物也是一个生命，他有尊严，有爱，想融入人类，想得到社会的包容。,玛丽·雪莱《弗兰肯斯坦》 
文明与野蛮不能用外貌以及社会地位作为唯一的衡量标准。,玛丽·雪莱《弗兰肯斯坦》 
人类对自然与生命要产生敬畏之情。,玛丽·雪莱《弗兰肯斯坦》 
科学是使人精神变得勇敢的最好途径。,布鲁诺《论无限宇宙与世界》 
幻想是诗人的翅膀，假设是科学的天梯。,歌德《浮士德》 
科学的每一项巨大成就，都是以大胆的幻想为出发点的。,爱因斯坦《我的世界观》 
科学的进步取决于科学家的劳动和他们发明的价值。,巴斯德《科学的价值》 
科学没有国界，但科学家有祖国。,巴斯德《科学的价值》 
科学是永无止境的，它是一个永恒之谜。,爱因斯坦《我的世界观》 
科学尊重事实，服从真理，而不会屈服于任何压力。,爱因斯坦《我的世界观》 
科学的惟一目的是减轻人类生存的苦难。,伽利略《关于两大世界体系的对话》 
科学家的成果是全人类的财产，而科学是最无私的领域。,高尔基《我的大学》 
科学是实事求是的学问，来不得半点虚假。,华罗庚《科学的春天》 
科学家的成就是由一点一滴积累起来的。,华罗庚《科学的春天》 
